Time,Val MAE,Val RMSE,Val ARD,Val De1,Val De2,Val De3,Epoch Num,LRate,Beta1,Batch Size,LossF,H-Reso,W-Reso,DP_weight
15:23 2023-11-02,4.04,8.75,0.16,85.89,92.59,95.34,11,0.0001,0.5,1,,,,
16:45 02-11-2023,4.77,9.38,0.17,82.87,91.58,94.89,3,0.0001,0.5,1,,,,
15_01_d_06_11_2023,4.66,9.34,0.16,83.11,91.72,94.87,3,0.0001,0.6,1,,,,
15_33_d_06_11_2023,4.58,9.41,0.16,84.20,91.94,94.99,3,0.0001,0.7,1,,,,
16_04_d_06_11_2023,4.30,9.00,0.16,84.98,92.23,95.20,3,0.0001,0.8,1,,,,
16_34_d_06_11_2023,3.97,8.43,0.16,85.28,92.36,95.22,3,0.0001,0.9,1,,,,
17_05_d_06_11_2023,4.07,8.65,0.16,85.23,92.19,95.02,3,0.0001,0.95,1,,,,
17_36_d_06_11_2023,4.12,8.83,0.15,85.02,91.94,94.78,3,0.0001,0.99,1,,,,
03_03_d_07_11_2023,42363879424.00,86890430464.00,2179895552.00,57.33,57.33,57.33,2,0.001,0.9,1,,,,
03_25_d_07_11_2023,4.40,8.75,0.18,83.37,91.85,94.99,2,0.0001,0.9,1,,,,
03_46_d_07_11_2023,4.14,8.68,0.16,84.95,92.03,94.99,2,0.0002,0.9,1,,,,
04_08_d_07_11_2023,8.47,13.95,0.28,54.91,80.90,90.54,2,0.0004,0.9,1,,,,
04_30_d_07_11_2023,4.33,8.74,0.18,83.16,91.63,94.86,2,9e-05,0.9,1,,,,
04_52_d_07_11_2023,4.48,8.77,0.19,82.30,91.59,94.86,2,7e-05,0.9,1,,,,
05_13_d_07_11_2023,7.70,13.04,0.30,59.62,82.67,90.14,3,0.001,0.9,1,,,,
05_45_d_07_11_2023,4.04,8.62,0.16,85.19,92.29,95.18,3,0.0001,0.9,1,,,,
06_17_d_07_11_2023,4.07,8.66,0.16,85.60,92.29,95.17,3,0.0002,0.9,1,,,,
06_48_d_07_11_2023,21.46,38.75,1.02,28.50,50.16,67.69,3,0.0004,0.9,1,,,,
07_20_d_07_11_2023,4.07,8.57,0.17,85.25,92.37,95.26,3,9e-05,0.9,1,,,,
07_51_d_07_11_2023,4.16,8.69,0.17,84.70,92.15,95.06,3,7e-05,0.9,1,,,,
08_23_d_07_11_2023,432924.66,908131.88,23525.19,61.87,61.88,61.88,4,0.001,0.9,1,,,,
09_04_d_07_11_2023,3.82,8.46,0.15,86.83,92.91,95.56,4,0.0001,0.9,1,,,,
09_46_d_07_11_2023,3.91,8.67,0.15,86.32,92.49,95.30,4,0.0002,0.9,1,,,,
10_27_d_07_11_2023,6.23,10.42,0.27,67.76,87.22,93.19,4,0.0004,0.9,1,,,,
11_08_d_07_11_2023,3.87,8.54,0.15,86.45,92.76,95.47,4,9e-05,0.9,1,,,,
11_48_d_07_11_2023,3.84,8.51,0.15,86.71,92.87,95.50,4,7e-05,0.9,1,,,,
14_25_d_07_11_2023,3.80,8.38,0.1471,86.72,92.92,95.63,5,0.0001,0.9,1,,,,
15_48_d_07_11_2023,3.78,8.38,0.1525,86.66,92.97,95.61,5,7e-05,0.9,1,,,,
16_55_d_07_11_2023,3.76,8.36,0.1472,87.31,93.20,95.66,6,0.0001,0.9,1,,,,
18_01_d_07_11_2023,3.64,8.28,0.1382,87.32,93.26,95.72,6,7e-05,0.9,1,,,,
19_30_d_07_11_2023,4.01,8.51,0.1606,85.62,92.47,95.30,3,0.0001,0.9,1,L1+TV,
18_47_d_10_11_2023,3.86,8.41,0.1580,86.00,92.61,95.29,3,0.0001,0.9,1,L1+TV,512,1024,
19_44_d_10_11_2023,4.18,8.86,0.1617,85.06,92.06,94.96,3,0.0001,0.9,1,L1+TV,400,1024,
20_46_d_10_11_2023,4.15,8.86,0.1568,85.62,92.11,94.94,3,0.0001,0.9,1,L1+TV,416,960,
16_18_d_27_11_2023,4.03,8.56,0.1555,85.68,92.27,95.13,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
17_20_d_27_11_2023,4.10,8.59,0.1643,85.29,92.10,94.99,3,0.0001,0.9,1,L1+TV+DP,416,960,0.001
18_03_d_27_11_2023,4.20,8.85,0.1698,84.68,91.76,94.78,3,0.0001,0.9,1,L1+TV+DP,416,960,0.01
18_54_d_28_11_2023,10.69,17.43,0.3419,44.06,72.30,85.15,3,0.0001,0.9,1,L1+TV+DP,416,960,1e-08
19_43_d_28_11_2023,10.97,18.53,0.3209,47.86,72.71,83.83,3,0.0001,0.9,1,L1+TV+DP,416,960,1e-09
